rank,name,elo,title,country,games,birth_year,continent,age
154,Yaroslav Zherebukh ,2623,GM,United States ,658,1993,ame,31
155,Vladimir Akopian ,2620,GM,United States ,1830,1971,ame,53
156,Farrukh Amonatov ,2620,GM,Tajikistan ,961,1978,ame,46
157,Cristobal Henriquez Villagra ,2620,GM,Chile ,320,1996,ame,28
158,Aleksandar Indjic ,2620,GM,Serbia ,903,1995,ame,29
159,Viktor Laznicka ,2620,GM,Czech Republic ,1701,1988,ame,36
160,David Paravyan ,2620,GM,Russian Federation ,952,1998,ame,26
161,Nodirbek Yakubboev ,2620,GM,Uzbekistan ,364,2002,ame,22
162,Boris Grachev ,2619,GM,Russian Federation ,1869,1986,ame,38
163,Eduardo Iturrizaga Bonelli ,2619,GM,Spain ,1094,1989,ame,35
164,Jun Zhao ,2619,GM,China ,720,1986,asia,38
165,Sergei Movsesian ,2618,GM,Armenia ,2695,1978,ame,46
166,Rinat Jumabayev ,2617,GM,Kazakhstan ,1145,1989,ame,35
167,Daniel Naroditsky ,2617,GM,United States ,478,1995,ame,29
168,Zhong Zhang ,2617,GM,China ,919,1978,asia,46
169,Benjamin Bok ,2616,GM,Netherlands ,993,1995,ame,29
170,Denis Khismatullin ,2616,GM,Russian Federation ,1528,1984,ame,40
171,Shanglei Lu ,2616,GM,China ,888,1995,asia,29
172,Robert Markus ,2616,GM,Serbia ,1297,1983,ame,41
173,Daniele Vocaturo ,2616,GM,Italy ,1074,1989,ame,35
174,Ildar Khairullin ,2615,GM,Russian Federation ,1083,1990,ame,34
175,Emil Sutovsky ,2615,GM,Israel ,1775,1977,asia,47
176,Neuris Delgado Ramirez ,2614,GM,Paraguay ,415,1981,ame,43
177,Miguel Illescas Cordoba ,2614,GM,Spain ,1402,1965,ame,59
178,Murali Karthikeyan ,2613,GM,India ,677,1999,asia,25
179,Georg Meier ,2613,GM,Uruguay ,1322,1987,ame,37
180,Sergey A Fedorchuk ,2612,GM,Ukraine ,1816,1981,ame,43
181,Aram Hakobyan ,2612,GM,Armenia ,485,2001,ame,23
182,Volodymyr Onyshchuk ,2612,GM,Ukraine ,1085,1991,ame,33
183,Abhimanyu Puranik ,2612,GM,India ,539,2000,asia,24
184,Nigel D Short ,2612,SGM,United Kingdom ,2875,1965,ame,59
185,Tamas Banusz ,2611,GM,Hungary ,1303,1989,ame,35
186,Ante Brkic,2611,GM,Croatia ,1623,1988,ame,36
187,Raunak Sadhwani ,2611,GM,India ,511,2005,asia,19
188,Aryan Chopra ,2610,GM,India ,277,2001,asia,23
189,Vitaliy Bernadskiy ,2610,GM,Ukraine ,925,1994,ame,30
190,Aleksey Dreev ,2610,GM,Russian Federation ,3360,1969,ame,55
191,Niclas Huschenbeth ,2610,GM,Germany ,761,1992,ame,32
192,Manuel Petrosyan ,2610,GM,Armenia ,732,1998,ame,26
193,Max Warmerdam ,2610,GM,Netherlands ,421,2000,ame,24
194,David Baramidze ,2609,GM,Germany ,1123,1988,ame,36
195,Christian Bauer ,2609,GM,France ,2092,1977,ame,47
196,Boris Alterman ,2608,GM,Israel ,697,1970,asia,54
197,Chithambaram VR Aravindh ,2608,GM,India ,535,1999,asia,25
198,Jonas Buhl Bjerre ,2608,GM,Denmark ,411,2004,ame,20
199,Surya Shekhar Ganguly ,2608,GM,India ,1811,1983,asia,41
200,Vadim Milov ,2608,GM,Switzerland ,1583,1972,ame,52
